,0,cleanText
2020-12-08 23:51:00,"“The vaccine news and the focus on that is the most important thing for the market at the moment,” said Stephanie R… https://t.co/G8PdiRLkVt","['vaccine', 'news', 'focus', 'important', 'thing', 'market', 'moment', 'said', 'stephanie']"
2020-12-08 23:30:03,The J.P. Morgan Healthcare #Conference is going virtual. Here's what to expect from an event that has been referred… https://t.co/ymNd6bxTxU,"['morgan', 'healthcare', 'conference', 'going', 'virtual', 'expect', 'event', 'referred']"
2020-12-08 23:17:45,RT @NathaniNoShame: every night in fear that someone he knew or didn’t would kill him. Literally the poster child of capitalism. J.P Morgan…,"['every', 'night', 'fear', 'someone', 'knew', 'would', 'kill', 'literally', 'poster', 'child', 'capitalism', 'morgan']"
2020-12-08 23:10:42,"Alphabet Inc. (GOOG) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to Sell, as Alphabe… https://t.co/o0a8loFUac","['alphabet', 'inc', 'goog', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'sell', 'alphabe']"
2020-12-08 23:07:06,"@TheSolariReport Millionaires don't use Astrology, billionaires do.

J.P. Morgan","['millionaire', 'use', 'astrology', 'billionaire', 'dojp', 'morgan']"
2020-12-08 22:48:32,@PDXFato @UvKLvr47 @alan_uplc @OregonGovBrown They were illegally prevented from bidding on THEIR OWN HOUSE when th… https://t.co/nAEdHgcY2Z,"['illegally', 'prevented', 'bidding', 'house']"
2020-12-08 22:14:52,"RT @tim_fargo: A man always has two reasons for doing anything: a good reason and the real reason. - J.P. Morgan #quote
#TuesdayThoughts ht…","['man', 'always', 'two', 'reason', 'anything', 'good', 'reason', 'real', 'reason', 'morgan', 'quotetuesdaythoughts']"
2020-12-08 22:10:07,"* NEW CAPITAL RAISING *

Company: Charter Hall (ASX:CLW)
Market cap: A$2,423M
Structure: A$250M Placement
Discount… https://t.co/BchxqSEN3p","['new', 'capital', 'raising', 'company', 'charter', 'hall', 'asxclw', 'market', 'cap', 'mstructure', 'placementdiscount']"
2020-12-08 21:11:19,"@air_options @optionsuccess https://t.co/DpdXOSlO0s ""The underwriting group for the deal is led by Morgan Stanley,… https://t.co/TIPcec3Vq8","['underwriting', 'group', 'deal', 'led', 'morgan', 'stanley']"
2020-12-08 21:11:06,"Paper Co. (IP) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Hold, as Paper Co. (IP… https://t.co/aNrqCISwGO","['paper', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold', 'paper']"
2020-12-08 20:41:48,"Alphabet Inc. (GOOG) surprised the market with Q4 result.  J.P. Morgan Chase changed the rating to Hold, as Alphabe… https://t.co/OmKOanchRS","['alphabet', 'inc', 'goog', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold', 'alphabe']"
2020-12-08 20:41:32,"@bgarlinghouse @Ripple_XRP1 If you can bring companies like Bank of America , J.P. Morgan and citi bank you will be the next Tesla","['bring', 'company', 'like', 'bank', 'america', 'morgan', 'citi', 'bank', 'next', 'tesla']"
2020-12-08 20:37:22,A man always has two reasons for doing anything: a good reason and the real reason. - J.P. Morgan #quote… https://t.co/llAn35nprg,"['man', 'always', 'two', 'reason', 'anything', 'good', 'reason', 'real', 'reason', 'morgan', 'quote']"
2020-12-08 20:27:52,"RT @astephens__: @MKBHD Apple's approach to these radical changes fits well with the famous quote from J. P. Morgan:

""A man always has two…","['apple', 'approach', 'radical', 'change', 'fit', 'well', 'famous', 'quote', 'morgan', 'man', 'always', 'two']"
2020-12-08 20:23:02,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/qRXcwvgO5G,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 20:20:24,"RT @WATC_WeAreTech: We are so happy to have Crystal Downie​, Executive Director, J.P. Morgan​,​ introducing 10 more of our #TechWomen100 at…","['happy', 'crystal', 'downie', 'executive', 'director', 'morgan', 'introducing', 'techwomen']"
2020-12-08 20:16:48,Positive #manufacturing news shared in the RIMA BLOG -The J.P. Morgan Global Manufacturing PMI expanded at the fast… https://t.co/6PMgJXkDKj,"['positive', 'manufacturing', 'news', 'shared', 'rima', 'blog', 'morgan', 'global', 'manufacturing', 'pmi', 'expanded', 'fast']"
2020-12-08 20:02:47,"RT @OneLuckyGirl_28: ""Millionaires don't use Astrology,

Billionaires use Astrology.""

—J.P. Morgan, @jpmorgan founded
on October 28th—28 i…","['millionaire', 'use', 'astrology', 'billionaire', 'use', 'astrology', 'morgan', 'foundedon', 'october']"
2020-12-08 20:00:02,"Businessman J.P. Morgan said, “No problem can be solved until it is reduced to some simple form. The changing of a… https://t.co/orM6p8SM0v","['businessman', 'morgan', 'said', 'problem', 'solved', 'reduced', 'simple', 'form', 'changing']"
2020-12-08 19:43:13,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/Tb5nDrIVAc,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 19:25:12,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/VRM5WdrIgQ,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 19:10:54,JinkoSolar Holding Company Limi (JKS) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to… https://t.co/9tsHydcccf,"['jinkosolar', 'holding', 'company', 'limi', 'jks', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating']"
2020-12-08 18:58:40,"RT @OneLuckyGirl_28: J.P. Morgan, 

America's first billionaire, 

said of #Astrology...

""Millionaires don't use Astrology,

Billionaires…","['morgan', 'america', 'first', 'billionaire', 'said', 'astrology', 'millionaire', 'use', 'astrology', 'billionaire']"
2020-12-08 18:48:13,"'The world is divided in to three classes of people: a very small group that makes things happen, 
a somewhat large… https://t.co/jzv2udx7C5","['world', 'divided', 'three', 'class', 'people', 'small', 'group', 'make', 'thing', 'happen', 'somewhat', 'large']"
2020-12-08 18:45:45,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/c4HeRfx6db,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 18:40:11,"#Hiring Wholesale Payments, Onyx by J.P. Morgan - The Liink Network - Technical Implementation... at JPMorgan Chase… https://t.co/EacMPscOI3","['hiring', 'wholesale', 'payment', 'onyx', 'morgan', 'liink', 'network', 'technical', 'implementation', 'jpmorgan', 'chase']"
2020-12-08 18:34:33,"We are so happy to have Crystal Downie​, Executive Director, J.P. Morgan​,​ introducing 10 more of our… https://t.co/XQykOCDg2m","['happy', 'crystal', 'downie', 'executive', 'director', 'morgan', 'introducing']"
2020-12-08 18:31:11,every night in fear that someone he knew or didn’t would kill him. Literally the poster child of capitalism. J.P Mo… https://t.co/SRhcGw3ynv,"['every', 'night', 'fear', 'someone', 'knew', 'would', 'kill', 'literally', 'poster', 'child', 'capitalism']"
2020-12-08 18:10:42,"AT&amp;T Inc. (T) surprised the market with Q4 result.  J.P. Morgan Chase changed the rating to Underperform, as AT&amp;T I… https://t.co/oB670gpLhm","['atampt', 'inc', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'underperform', 'atampt']"
2020-12-08 18:00:51,J.P. Morgan comes in a few minutes ago and raises the price target on $COUP to $121 from $100... https://t.co/xTXdmJhlcO,"['morgan', 'come', 'minute', 'ago', 'raise', 'price', 'target', 'coup']"
2020-12-08 18:00:00,"If you have to ask how much it costs, you can't afford it.

 - J.P. Morgan","['ask', 'much', 'cost', 'afford', 'morgan']"
2020-12-08 17:26:02,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/226oeiuhlT,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 17:12:14,"""Millionaires don't use Astrology,

Billionaires use Astrology.""

—J.P. Morgan, @jpmorgan founded
on October 28th—2… https://t.co/ndwFNoZilp","['millionaire', 'use', 'astrology', 'billionaire', 'use', 'astrology', 'morgan', 'foundedon', 'october']"
2020-12-08 16:56:47,"RT @GibsonMcFuck: UPDATE: Out of an abundance of caution, President-elect Joe Biden has unzipped his full-body skin suit to reveal a bipeda…","['update', 'abundance', 'caution', 'president', 'elect', 'joe', 'biden', 'unzipped', 'full', 'body', 'skin', 'suit', 'reveal', 'bipeda']"
2020-12-08 16:56:29,"@OrwellReturns @codycr6 @Randy_Muscle @IlhanMN J.P. Morgan was born rich already.  

They gained generational wealt… https://t.co/XynP9up5wA","['morgan', 'born', 'rich', 'already', 'gained', 'generational', 'wealt']"
2020-12-08 16:51:30,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/DtQuRSiUKE,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 16:31:52,"The Walt Disney Company (DIS) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Hold, a… https://t.co/f4L384Q1xm","['walt', 'disney', 'company', 'dis', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold']"
2020-12-08 16:16:48,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/U7tR1INadj,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 16:16:39,EMEA Sales &amp; Marketing – Structuring Investable Index Solutions – Analyst | J.P.Morgan https://t.co/Bi39oE1O9w,"['emea', 'sale', 'amp', 'marketing', 'structuring', 'investable', 'index', 'solution', 'analyst', 'jpmorgan']"
2020-12-08 15:40:54,"Axon Enterprise, Inc. (AAXN) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Buy, as… https://t.co/GeSNk4kKKq","['axon', 'enterprise', 'inc', 'aaxn', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'buy']"
