,0
2020-12-09 04:05:39,"@Darrell_Clarke Please tell JP Morgan Chase Bank, University of Penn, Comcast Corporation and PhillyCAM that they c… https://t.co/ygKwHjQ6lO"
2020-12-09 01:51:40,"@NoRaifuNoLaifu @JPEGMacDonald @WheelmanForHire &gt;CNN
liberal, centre right
&gt;MSNBC
owned by comcast, a giant corpora… https://t.co/S4HGJLj5hz"
2020-12-08 23:17:01,RT @keggking: Does anyone else find it hysterical that @Xfinity @comcast slogan is Comcast cares? They’re raising everyones prices and capp…
2020-12-08 23:10:45,Does anyone else find it hysterical that @Xfinity @comcast slogan is Comcast cares? They’re raising everyones price… https://t.co/F7CIxdUVDB
2020-12-08 20:01:14,$CMCSA - Comcast Corporation (CMCSA) Management Presents at UBS Global TMT Virtual Conference Transcript.… https://t.co/pDursNvRl9
2020-12-08 18:10:00,"6 Ways to Create a Terrible Customer Service Experience

When you’re in business, whether you’re a large corporatio… https://t.co/G6Rr3T1ooB"
2020-12-08 17:09:00,"$cmcsa Comcast interesting 
#stockstowatch #stocks #sportsbetting #research ✅

Aussie-listed PointsBet, which has a… https://t.co/gM0gAs1XwI"
2020-12-08 09:03:02,"#SmartHome 

☆Charter Communications 
☆Cisco Systems 
☆Comcast Corp 
☆Comfort Systems USA
☆Eaton Corporation 
☆Flir… https://t.co/BaKZ9Rbvq4"
2020-12-08 07:10:32,"Pay TV Services Market Size &amp; Revenue Analysis | DirecTV (AT&amp;T), Comcast Corporation, British Sky Broadcasting (BSk… https://t.co/2B5h2gPlnz"
2020-12-08 03:13:44,@Comcast @Xfinity your services are so broken and under developed. So much headache when it can be so easy. Nasty c… https://t.co/MdVbI8I9Fg
2020-12-08 00:47:07,@MikeForester @NCTAitv @Sludge indeed they are. The official name of the PAC mentioned in the story is the Comcast… https://t.co/nn0EKDH6fK
2020-12-07 20:01:02,"Highest net debt in billions among #stocks $SPX $SPY
1. 🇺🇸 AT&amp;T INC. $T: 147.21
2. 🇺🇸 FORD MOTOR COMPANY $F: 112.44… https://t.co/ts0vOeNShO"
2020-12-07 19:21:27,"@Timcast @Cernovich one opinion is the comcast mega corporation, one is a teacher's union. i hope this helps"
2020-12-07 13:27:06,@mclaughlan57 @SkySports Sadly not enough people realise that this is just Comcast's US politics coming down the pi… https://t.co/h2SsQsGbmS
2020-12-07 06:23:21,"Comcast has a new portal requiring an “xfinity ID” but:
- account creation fails
- direct pay has captcha that does… https://t.co/PZSRWZs2x2"
2020-12-06 19:51:28,@amazon @PrimeVideo @Wendys @McDonalds @BurgerKing @Walmart @Apple @Microsoft @exxonmobil @Google @ATT @Verizon… https://t.co/LVdVfvpho7
2020-12-06 10:10:00,"6 Ways to Create a Terrible Customer Service Experience

When you’re in business, whether you’re a large corporatio… https://t.co/7ULsJrmeDF"
