,0
2020-12-09 05:28:36,Warner Bros.' Streaming Plans Shake Up Global Release Schedule  $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn… https://t.co/zixMamQ7Su
2020-12-09 05:20:17,"Davido - FEM (Official Video) https://t.co/ZM0BZFNtEk via @YouTube 

Music - Love - Kindness - Respect - Friend - A… https://t.co/rSa2p0Omf6"
2020-12-09 05:19:45,YouTube Game Watch Time Doubles In 2020 To 100 Billion Hours; Minecraft Still Rules  $viac $cmcsa $dis $nflx $aapl… https://t.co/Ip997MBhYH
2020-12-09 05:18:45,Marketers of the Year No. 1: TikTok |  $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn $disca $lgf $twtr $fox $fb… https://t.co/j2y5SBFlSb
2020-12-09 05:18:01,Ofcom proposes radical shake-up of UK broadcasting | Public service broadcasting |  $viac $cmcsa $dis $nflx $aapl… https://t.co/mUJCfunajV
2020-12-09 05:16:24,WarnerMedia's Sacrifice -  $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn $disca $lgf $twtr $fox $fb $goog $snap… https://t.co/lhDCWio51V
2020-12-09 05:15:02,"Peacock Hits 26M Signups, Says NBCUniversal final boss $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn $disca $lgf…."
2020-12-09 05:15:00,Can superhero movies survive the Covid-era switch to streaming? $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn… https://t.co/klEsKyCKNo
2020-12-09 05:12:56,"Peacock Hits 26M Signups, Says NBCUniversal CEO  $viac $cmcsa $dis $nflx $aapl $t $sne $roku $amzn $disca $lgf… https://t.co/rwhfUGiaRV"
2020-12-09 05:08:08,"Praises Of Israel - Hu Asher(He Who Did Not Spare)[Live] https://t.co/YbIaeAKEM2 via @YouTube 

Music - Love - Kind… https://t.co/EYYcET1K4c"
2020-12-09 05:01:08,"Daddy Yankee, Anuel AA &amp; Kendo Kaponi - Don Don (Official Video) https://t.co/XSSKjz1QFr via @YouTube 

Music - Lov… https://t.co/Bj1sJvM9C1"
2020-12-09 04:51:24,"Bárbara Bandeira - Nós os Dois [ Official Music Video ] https://t.co/BsaCHie6PZ via @YouTube 

Music - Love - Kindn… https://t.co/hqIKKocTWO"
2020-12-09 04:50:10,"NUNO RIBEIRO - Longe https://t.co/GXXSUr88Oo via @YouTube 

Music - Love - Kindness - Respect - Friend - Americas -… https://t.co/jRwZiEEsUx"
2020-12-09 04:46:39,"Piso 21 &amp; Micro TDH - Te Vi (Video Oficial) https://t.co/qipxp0t0g3 via @YouTube 

Music - Love - Kindness - Respec… https://t.co/b0HEbOrdjx"
2020-12-09 04:37:07,$CMCSA Peacock passes 26M subscribers as streaming growth continues  https://t.co/LsJfecwCpV
2020-12-09 04:36:02,"Peter Bart: For One At Least, The Pandemic Has Made Movie Theaters An Anachronism –  $viac $cmcsa $dis $nflx $aapl… https://t.co/6x4KA28up9"
2020-12-09 02:06:47,"$GRVY To Announce Secret Reverse Merger Negotiations Underway In Chicago 
https://t.co/Mv3xmUJu9A

$CMCSA $PVTL… https://t.co/Oc44I1QoSK"
2020-12-09 01:45:44,Comcast $CMCSA owned NBCUniversal's streaming service Peacock has passed 26M paid subscribers (up from 22M on Oct 2… https://t.co/L1V2aAU2yx
2020-12-09 01:14:54,"$DIS firm a/h

Big topics for Thursday - 

1. New international STAR/D+ strategy to include all non-Hulu properties… https://t.co/dauZT6h7nz"
2020-12-09 00:54:54,"$CMCSA - Peacock passes 26M subscribers as streaming growth continues $CMCSA, $NFLX, $AMZN

https://t.co/PQ5WBOXeD3"
2020-12-09 00:12:10,$CMCSA $CMCSA $NFLX - Peacock passes 26M subscribers as streaming growth continues https://t.co/sTRfEX9NG0
2020-12-08 23:54:22,European film/TV series represented 32% of content on TVOD and 27% of SVOD in the EU $viac $cmcsa $dis $nflx $aapl… https://t.co/YIDuvq1ngC
2020-12-08 23:43:58,"RT @Variety: $DIS, $VZ, $CMCSA, $NFLX and $T have been quietly racing toward $300 billion market caps amid a broader rally this year and cu…"
2020-12-08 23:30:34,"RT @Variety: $DIS, $VZ, $CMCSA, $NFLX and $T have been quietly racing toward $300 billion market caps amid a broader rally this year and cu…"
2020-12-08 23:24:54,@AyyouEm I’ve heard so many people pitch the doomsday “Cable is the next wireline” thesis at this point with $CHTR… https://t.co/q0HlMeJDXp
2020-12-08 23:15:52,"RT @Variety: $DIS, $VZ, $CMCSA, $NFLX and $T have been quietly racing toward $300 billion market caps amid a broader rally this year and cu…"
2020-12-08 22:39:02,#Comcast $CMCSA Has An Excellent #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Goo… https://t.co/Awh7e2qwcx
2020-12-08 22:00:35,The streaming wars are on! But how do we capitalize on this new digitization trend and move away from traditional c… https://t.co/OqGaEJupGG
