,0
2020-12-09 03:26:18,@smarino1002 The Centerpoint Energy map around Houston shows one big red triangle of an outage. That’s us!
2020-12-08 21:30:47,$CNP CenterPoint Energy Inc is falling fast! It's down -2.77% today!
2020-12-08 15:37:45,RT @SeekingAlpha: $CNP - CenterPoint Energy: Investor Day Confirms Strategy. https://t.co/wA8gYJNMC8 #markets #trading #finance
2020-12-08 14:19:30,@TBArkansas Who do you see as a potential buyer of Centerpoint Energy in Arkansas?
2020-12-08 14:16:51,$CNP - CenterPoint Energy: Investor Day Confirms Strategy. https://t.co/wA8gYJNMC8 #markets #trading #finance
2020-12-08 02:03:31,Another huge shout out to a fantastic sponsor: CenterPoint Energy! Crittenden County Christmas wouldn't be possible… https://t.co/bWAgoSsDUo
2020-12-07 20:46:28,RT @DarrenSweeney24: CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.…
2020-12-07 20:42:52,RT @DarrenSweeney24: CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.…
2020-12-07 20:34:46,RT @DarrenSweeney24: CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.…
2020-12-07 18:47:00,CENTERPOINT ENERGY INC (0001130310) (Filer) https://t.co/AEVsx5sMs4 #SecuritiesExchangeCommission #SEC… https://t.co/FZ42q1xeDh
2020-12-07 15:58:23,RT @DarrenSweeney24: CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.…
2020-12-07 15:50:30,RT @DarrenSweeney24: CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.…
2020-12-07 15:50:08,CenterPoint Energy plans to transition from 81% #coal in 2020 to 54% #renewables in 2025. $CNP #investorday https://t.co/bluo7yl3Z7
2020-12-07 15:41:44,"We are so very proud of you #CoogEngineer!

Madison Hamby
CenterPoint Energy UH Cullen College of Engineering https://t.co/I1oQsc3VJm"
2020-12-07 15:30:16,@50Pipz We're hopeful CenterPoint Energy has since restored the power. They own the electric lines and poles and ar… https://t.co/YOIY7im3Dh
2020-12-07 15:20:20,"$CNP CenterPoint Energy, Inc. SEC Filing: Form 8-K https://t.co/fcDimtYdd8"
2020-12-07 15:05:23,CenterPoint Energy is holding a virtual investor day. Its strategy includes a focus on utility investment and earni… https://t.co/xUwW4DMkW6
2020-12-07 15:01:34,"$CNP New Form 8-K for CenterPoint Energy, Inc.
From our Stock News Alerts App"
2020-12-07 14:55:16,New Form 8-K [Press/News Current Report] entry filed by  $CNP $CNP.PB CENTERPOINT ENERGY INC  https://t.co/ytMP04JSIa
2020-12-07 08:29:32,How to Trade: What Long Term Investors Think About Centerpoint Energy $CNP Updated 12720 https://t.co/cRbQ2P4kD1 Cl… https://t.co/c4kULpdQx4
2020-12-07 05:12:06,@rising_serpent And look at Indiana. Centerpoint energy is a sell out
2020-12-06 01:03:13,"CenterPoint Energy - $CNP

💰 QUOTE
$CNP was UP ⬆ on Fri Dec 04
Closed at 22.86 USD for a 0.31% gain from previous c… https://t.co/vVdaWZVhDp"
2020-12-05 15:54:24,"CENTERPOINT ENERGY, INC. VOTE!"
2020-12-05 13:12:53,"@MontrivilleG @UpSpireMe @seth_hettena CNP? Can have many meanings

Certified Nurse Practitioner
Centerpoint Energy on NYSE"
2020-12-05 07:45:42,"RT @CtrGrantsDev: #Grants: CenterPoint Energy Foundation: Corporate Giving (Select Areas), due Feb. 15, 2021, supports projects that encour…"
2020-12-05 02:05:57,@stocktalkweekly Plz check out $PDAC.Sustainability (Greenhouse gas reduction)Alan Levande (Former Co-CEO of Covey… https://t.co/pwexXLrhxl
2020-12-04 16:01:46,CenterPoint Energy urges Arkansas resident to stay alert this holiday season and know the signs of a utility scam: https://t.co/YnVR1WJo0k
2020-12-04 11:51:24,"$ENBL $CNP CenterPoint Energy, Inc. SEC Filing: Form SC 13D/A https://t.co/R6GZ7NRVeB"
2020-12-04 11:36:46,"$CNP New Form SC 13D/A for CenterPoint Energy, Inc.
From our Stock News Alerts App"
2020-12-03 23:40:04,RT @ParagonIntelNYC: We completed our preliminary diligence on new CenterPoint Energy CEO David Lesar ahead of the companies investor day o…
2020-12-03 21:51:04,Moody's revises CenterPoint Energy's outlook https://t.co/P0kjuISHCY
2020-12-03 21:49:16,Moody's revises CenterPoint Energy's outlook https://t.co/HimeLqs01B
2020-12-03 21:47:40,"$CNP CenterPoint Energy announces outlook revision to Stable by Moody's
From our Stock News Alerts App"
2020-12-03 21:30:27,"$CNP CenterPoint Energy announces outlook revision to Stable by Moody's
https://t.co/V3vmWFYnRJ"
2020-12-03 20:00:12,We completed our preliminary diligence on new CenterPoint Energy CEO David Lesar ahead of the companies investor da… https://t.co/b1iujqiNh4
2020-12-03 05:33:21,"@clutchfans Me, too. Although I hear he's applying for a second job at CenterPoint Energy."
2020-12-03 02:54:01,"CENTERPOINT ENERGY, INC. VOTE!"
2020-12-02 18:41:05,"...And so does CenterPoint Energy! 💛 Thanks for your support of #2021MES, @energyinsights. https://t.co/OBNd62FIKo https://t.co/JjsnXfSosE"
2020-12-02 17:30:22,"CenterPoint Energy appointed Kenneth Coleman, frmr CIO at Southern Co., as SVP &amp; CIO #CIO https://t.co/uAx8sJYWJC"
