,0
2020-12-08 03:55:51,"RT @workingwcovid: Report from an employee at Dollar General Corporation in ANDERSONVILLE, TN on Aug 24: ""Not all employees are wearing fac…"
2020-12-08 03:53:29,"Report from an employee at Dollar General Corporation in ANDERSONVILLE, TN on Aug 24: ""Not all employees are wearin… https://t.co/JjAzF2aU6y"
2020-12-07 23:09:20,"$DG Barclays, BMO Capital Markets and 3 others posted ratings on Dollar General Corporation ($DG). Stock only moved… https://t.co/s812SxrbsK"
2020-12-06 17:49:36,@FUCKYOUCHOLE @KurtLunsford Especially for folks who live in rural areas where big corporation conglomerates have m… https://t.co/q3k4tgnciC
2020-12-05 15:59:56,3 years ago I almost quit my job working for a multi-billion dollar corporation because I hated my General Manager… https://t.co/bEqO6AUe3P
2020-12-05 02:28:37,"During my internship at Dollar General Corporation last summer, I marketed the Vactrain"
2020-12-04 20:29:43,"During my internship at Dollar General Corporation last summer, I proofread research papers about reusable launch systems"
2020-12-04 16:18:17,"RT @Foxyfloof: @dontbl_nk @Ilhan Actually, we are just like slaves.
The Dollar General had another name back in the day:

The Company Store…"
2020-12-04 16:14:26,"@dontbl_nk @Ilhan Actually, we are just like slaves.
The Dollar General had another name back in the day:

The Comp… https://t.co/dhADqHMfTm"
2020-12-04 04:13:56,"RT @MidgardFinance: $DG Dollar General Q3 📈📈

Net Sales +17.3%
Same-Store Sales +12.2%

Consumables $6.4B +15.6% 🍺
Seasonal $0.9B +20.7% 🎃…"
2020-12-04 04:13:33,"$DG Dollar General Q3 📈📈

Net Sales +17.3%
Same-Store Sales +12.2%

Consumables $6.4B +15.6% 🍺
Seasonal $0.9B +20.7… https://t.co/2Rp32OSUnt"
2020-12-04 01:13:58,New #Blog Post - Dollar General Corporation (DG) Q3 2020 Earnings Call Transcript - https://t.co/eoK8xI7R1K
2020-12-03 23:50:03,$DG Earnings Intelligence Analysis of recent earnings identified Dollar General Corporation (DG) business focus on… https://t.co/cmpyRYMbJy
2020-12-03 21:54:59,New #Blog Post - Dollar General Corporation (DG) Q3 2020 Earnings Call Transcript - https://t.co/9LQCEkmldG
2020-12-03 21:15:31,Dollar General Corporation $DG held an earnings call on 12/3/2020. Here are the highlights:
2020-12-03 19:52:48,"Dollar General Corporation Q3 2020 Earnings Call Transcript
https://t.co/uGvvq4UMZC

$DG"
2020-12-03 19:06:03,$DG - Dollar General Corporation's (DG) CEO Todd Vasos on Q3 2020 Results - Earnings Call Transcript.… https://t.co/oF3SWdPl51
2020-12-03 13:00:36,"#NASDAQ #NasdaqListed 
#DowJones #NYSE 

#DG #dollar #general #corporation 
cmp 217.54, bullish till hold 206 towar… https://t.co/H9MjcrmBsq"
2020-12-03 11:58:37,Dollar General Corporation Reports Third Quarter 2020 Results https://t.co/EJAjLq0Sqq https://t.co/2z7AHYc4GZ
2020-12-03 11:55:24,Dollar General Corporation Reports Third Quarter 2020 Results $DG  https://t.co/2WiukjlWSA
2020-12-02 21:00:32,"Upcoming earnings calls on Thursday, December 3 2020:
1. $DG Dollar General Corporation
2. $DOCU DocuSign, Inc.
3.… https://t.co/VTWl8jtfxb"
2020-12-02 02:09:33,Dollar General Corporation Shares Approach 52-Week High - Market Mover https://t.co/Rul13VI3nk $DG #stockmarket #kwhenfinance
2020-12-01 15:54:24,"Salesforce Inc. (CRM), Dollar General Corporation (DG), Splunk, Inc. (SPLK), CrowdStrike Holdings, Inc. (CRWD), and… https://t.co/rdrZw6rBIJ"
2020-12-01 12:50:02,"https://t.co/OVg7svKVFD featured highlights include: Rush, Laboratory Corporation, AGCO and Dollar General
 https://t.co/BjaUzReCMQ"
2020-12-01 02:58:45,Dollar General Corporation Shares Near 52-Week High - Market Mover https://t.co/IW9qYeMi97 $DG #stockmarket #kwhenfinance
2020-11-30 23:00:17,"[USA] Senior Manager, Public Relations - Dollar General Corporation - Goodlettsville, TN https://t.co/UTw6ChJf5w #pr #jobs"
2020-11-30 20:10:37,"$CRM https://t.co/Dxl6tgeBrl, Inc. (CRM), Dollar General Corporation (DG), Splunk, Inc. (SPLK), CrowdStrike Holding… https://t.co/5UB5fTveME"
2020-11-30 19:23:04,"https://t.co/BrmSDIGw4C featured highlights include: Rush, Laboratory Corporation, AGCO and Dollar General… https://t.co/gqggBgRdiz"
2020-11-30 19:20:02,"https://t.co/OVg7svKVFD featured highlights include: Rush, Laboratory Corporation, AGCO and Dollar General
 https://t.co/BjaUzReCMQ"
2020-11-30 19:15:16,"https://t.co/o0igEbRwwp featured highlights include: Rush, Laboratory Corporation, AGCO and Dollar General… https://t.co/MdNTotEteE"
2020-11-30 12:16:27,Confronting the Dollar General Corporation for them denying me help for the animal shelter at 9am eastern let’s hea… https://t.co/SRKxDPMCD1
